SN2008gp 0.03339 50.753041666666505 1.3618888888889
filter r
54768.24059000006 17.886 0.012649110799708948
54772.276049999986 17.166 0.007211102699710166
54776.23633000022 16.892 0.005830951812429521
54779.26055999985 16.786 0.011704699919631271
54781.24254000001 16.827 0.01077032947729874
54783.22978000017 16.817 0.009848857524920096
54786.344469999894 16.924 0.008544004110259785
54790.249090000056 17.149 0.008544004110259785
54792.17957000015 17.298 0.008544004110259785
54793.192850000225 17.357 0.007615773314732914
54795.22421000013 17.468 0.011704699919631271
54801.289309999906 17.577 0.008944272334829279
54802.2143600001 17.61 0.008544004110259785
54803.300720000174 17.584 0.006708203990809385
54806.222320000175 17.726 0.008544004110259785
54808.227950000204 17.782 0.00948683262120287
54809.19026000006 17.863 0.011401754200348295
54810.221309999935 17.948 0.014560220246262127
54813.14515999984 18.115 0.0143178214912816
54814.176990000065 18.146 0.0143178214912816
filter i
54768.244930000044 18.159 0.014560220246262127
54770.2239000001 17.656 0.011401754200348295
54772.28041000012 17.379 0.009848857524920096
54776.24132000003 17.258 0.008544004110259785
54779.26490999991 17.385 0.011704699919631271
54781.24687999999 17.445 0.013601470820968664
54783.234120000154 17.42 0.018439088199391676
54786.34922000021 17.523 0.01236931698437134
54790.253800000064 17.894 0.01236931698437134
54792.18391000014 18.05 0.012649110799708948
54793.19719000021 18.03 0.01236931698437134
54795.2285699998 18.099 0.015524174421257794
54801.29422000004 17.92 0.013341664331342087
54803.3053799998 17.854 0.01236931698437134
54806.22666999977 17.865 0.01236931698437134
54808.23229000019 17.9 0.011401754200348295
54809.194600000046 17.904 0.01236931698437134
54810.22641000012 17.964 0.017262677415977826
54813.1501000002 18.138 0.0143178214912816
54814.18133000005 18.175 0.016278821347848187
filter u
54768.250969999935 18.505 0.019416488431418116
54770.22993999999 17.834 0.015556349101810349
54772.286450000014 17.472 0.018357560223105692
54776.22389000002 17.201 0.013038404876120145
54779.2709499998 17.23 0.014866068552860556
54781.25292999996 17.361 0.01627882063271455
54783.24017000012 17.608 0.024186773050828184
54790.23629999999 18.4 0.019416488431418116
54792.18997000018 18.687 0.02024845747459165
54793.2032300001 18.834 0.02195449784150594
54795.23461000016 19.147 0.028231188897807187
54801.27755000023 19.979 0.04850772980903981
54802.22476000013 20.057 0.046324941010445354
54806.23271000013 20.473 0.08670063725853837
filter V
54768.25702999998 17.875 0.011401754200348295
54770.23600000003 17.455 0.007615773314732914
54772.29249999998 17.162 0.00806225803015844
54776.21064999979 16.882 0.005830951812429521
54779.27699999977 16.802 0.00948683262120287
54781.258979999926 16.814 0.01077032947729874
54783.246230000164 16.843 0.01077032947729874
54786.32835000008 16.931 0.008544004110259785
54790.223910000175 17.14 0.008544004110259785
54792.19602000015 17.262 0.008544004110259785
54793.209290000144 17.332 0.008544004110259785
54795.24066000013 17.458 0.011401754200348295
54801.26446000021 17.852 0.010440306302312873
54802.230810000096 17.925 0.010440306302312873
54803.28580000019 17.964 0.011401754200348295
54806.238760000095 18.183 0.011401754200348295
54808.2444000002 18.301 0.013341664331342087
54809.20669999998 18.389 0.018248286830864123
54810.1961099999 18.404 0.02319482705718718
54813.11720000021 18.607 0.030149626198733
54814.19690999994 18.642 0.030149626198733
filter B
54768.26134999981 17.924 0.01077032947729874
54770.240319999866 17.481 0.00806225803015844
54772.29682999989 17.167 0.008602325377905017
54776.216349999886 16.87 0.007211102699710166
54779.28134000022 16.838 0.008944272334829279
54781.263309999835 16.877 0.009848857524920096
54783.25056000007 16.946 0.01077032947729874
54786.33358999994 17.112 0.01077032947729874
54790.2289499999 17.446 0.00806225803015844
54792.20035000006 17.671 0.008944272334829279
54793.21362000005 17.788 0.009848857524920096
54795.24500000011 18.052 0.011704699919631271
54801.26994000003 18.768 0.015524174421257794
54802.23515000008 18.845 0.014560220246262127
54803.29082999984 18.921 0.018439088199391676
54806.24309 19.244 0.021377558083859622
54808.24873000011 19.404 0.027294688848548285
54809.211039999966 19.466 0.04219004567377727
54810.20154999988 19.476 0.06711929845548557
54813.122539999895 19.817 0.08309632649593039
54814.20123999985 19.734 0.08709190298718464
filter Y
54769.314679999836 17.692 0.02570992063877873
54769.32274000021 17.604 0.0286356429825632
54771.26720000012 17.397 0.019924858278287452
54771.2752700001 17.386 0.026683328662684174
54778.28713000007 17.346 0.02280350840069659
54778.29651999986 17.384 0.026683328662684174
54780.2392500001 17.49 0.026925824609840825
54780.24727000017 17.527 0.03157530632019587
54784.23064999981 17.814 0.04356604329764093
54784.238630000036 17.771 0.03945884011713396
54791.23699000012 17.926 0.027658634066869543
54791.24514999986 17.963 0.03059411643425438
54794.23080000002 17.811 0.03178049671753556
54794.23877999978 17.889 0.03255764269569637
54800.22122999979 17.613 0.032984846571637354
54800.22997000022 17.517 0.026925824609840825
54812.08758000005 17.119 0.01897366524240574
54812.09840000002 17.168 0.027658634066869543
54822.1383799999 17.601 0.0211896197498573
54822.14722999977 17.661 0.02473863396874268
filter J
54769.3307500002 17.553 0.054230988836264114
54769.33876000019 17.63 0.05124451094124749
54771.28407000005 17.288 0.039319207286593466
54771.292140000034 17.332 0.03452535483195565
54778.305209999904 17.111 0.04130375396675768
54780.25528999977 17.312 0.042296571389628106
54780.263499999885 17.302 0.03945884011713396
54784.24670000002 17.608 0.05024937883584452
54784.254720000084 17.676 0.04738142937216292
54791.2543899999 18.545 0.11111255697020009
54791.262639999855 18.656 0.13213629256112167
54794.24683000008 18.602 0.13809054654367645
54794.25485000014 18.499 0.1291394527150169
54800.23835999984 18.375 0.10911461601066406
54800.24748999998 18.57 0.13013838311908313
54812.10693999985 18.12 0.10212247357846016
54812.11604999984 18.085 0.11610770527617398
54822.164919999894 18.672 0.10822661691160496
54844.01636999985 20.381 0.1135473472739724
filter H
54769.34673999995 17.564 0.10124228717978029
54769.35539000016 17.912 0.1773414795768026
54771.30010000011 17.605 0.08728115241811486
54771.30977000017 17.714 0.11244554579845842
54778.322910000104 17.518 0.171187036047436
54778.333240000065 17.246 0.12050310931655889
54780.271319999825 17.773 0.13518136503016173
54780.279839999974 17.695 0.1294681360242625
54784.27124000015 18.054 0.1823321108678641
54791.27051999979 18.092 0.14417003231513356
54791.27914000023 17.909 0.13138112222528198
54794.27159000002 17.936 0.18532674086822293
54800.25581 17.733 0.1361800352965531
54800.264800000004 18.029 0.1783395668439561
54812.12454000022 17.7 0.13917614596382077
54812.13367999997 17.734 0.14434679840665454
54822.18255000003 18.062 0.15033296971612392
filter g
54772.27172000008 17.086 0.006403124268849653
54776.23118000012 16.778 0.005830951812429521
54779.25622999994 16.723 0.009848857524920096
54781.2382100001 16.738 0.01077032947729874
54783.225449999794 16.851 0.011180339637598877
54786.33939999994 16.976 0.006708203990809385
54790.24354999978 17.22 0.006708203990809385
54792.17523000017 17.408 0.007615773314732914
54801.284289999865 18.331 0.00948683262120287
54802.2100399998 18.416 0.00948683262120287
54803.2953900001 18.522 0.010440306302312873
54806.2179899998 18.783 0.01236931698437134
54808.22361999983 18.945 0.016278821347848187
54809.18593000015 19.017 0.02816025654278445
54810.21627000021 19.112 0.03413209817463698
54813.14044999983 19.304 0.041194660993676795
54814.17265000008 19.269 0.03114482250302311
